key,value,api
KEY_EXSEL,0xA4,keyboard
KEY_PAD_00,0xB0,keyboard
KEY_PAD_000,0xB1,keyboard
KEY_THOUSANDS_SEPARATOR,0xB2,keyboard
KEY_DECIMAL_SEPARATOR,0xB3,keyboard
KEY_CURRENCY_UNIT,0xB4,keyboard
KEY_CURRENCY_SUB_UNIT,0xB5,keyboard
KEYPAD_LEFT_BRACE,0xB6,keyboard
KEYPAD_RIGHT_BRACE,0xB7,keyboard
KEYPAD_LEFT_CURLY_BRACE,0xB8,keyboard
KEYPAD_RIGHT_CURLY_BRACE,0xB9,keyboard
KEYPAD_TAB,0xBA,keyboard
KEYPAD_BACKSPACE,0xBB,keyboard
KEYPAD_A,0xBC,keyboard
KEYPAD_B,0xBD,keyboard
KEYPAD_C,0xBE,keyboard
KEYPAD_D,0xBF,keyboard
KEYPAD_E,0xC0,keyboard
KEYPAD_F,0xC1,keyboard
KEYPAD_XOR,0xC2,keyboard
KEYPAD_CARET,0xC3,keyboard
KEYPAD_PERCENT,0xC4,keyboard
KEYPAD_LESS_THAN,0xC5,keyboard
KEYPAD_GREATER_THAN,0xC6,keyboard
KEYPAD_AMPERSAND,0xC7,keyboard
KEYPAD_DOUBLEAMPERSAND,0xC8,keyboard
KEYPAD_PIPE,0xC9,keyboard
KEYPAD_DOUBLEPIPE,0xCA,keyboard
KEYPAD_COLON,0xCB,keyboard
KEYPAD_POUND_SIGN,0xCC,keyboard
KEYPAD_SPACE,0xCD,keyboard
KEYPAD_AT_SIGN,0xCE,keyboard
KEYPAD_EXCLAMATION_POINT,0xCF,keyboard
KEYPAD_MEMORY_STORE,0xD0,keyboard
KEYPAD_MEMORY_RECALL,0xD1,keyboard
KEYPAD_MEMORY_CLEAR,0xD2,keyboard
KEYPAD_MEMORY_ADD,0xD3,keyboard
KEYPAD_MEMORY_SUBTRACT,0xD4,keyboard
KEYPAD_MEMORY_MULTIPLY,0xD5,keyboard
KEYPAD_MEMORY_DIVIDE,0xD6,keyboard
KEYPAD_PLUS_MINUS,0xD7,keyboard
KEYPAD_CLEAR,0xD8,keyboard
KEYPAD_CLEAR_ENTRY,0xD9,keyboard
KEYPAD_BINARY,0xDA,keyboard
KEYPAD_OCTAL,0xDB,keyboard
KEYPAD_DECIMAL,0xDC,keyboard
KEYPAD_HEXADECIMAL,0xDD,keyboard
KEY_LEFT_CTRL,0xE0,keyboard
KEY_LEFT_SHIFT,0xE1,keyboard
KEY_LEFT_ALT,0xE2,keyboard
KEY_LEFT_GUI,0xE3,keyboard
KEY_LEFT_WINDOWS,0xE3,keyboard
KEY_RIGHT_CTRL,0xE4,keyboard
KEY_RIGHT_SHIFT,0xE5,keyboard
KEY_RIGHT_ALT,0xE6,keyboard
KEY_RIGHT_GUI,0xE7,keyboard
KEY_RIGHT_WINDOWS,0xE,keyboard
MEDIA_RECORD,0xB2,consumer
MEDIA_FAST_FORWARD,0xB3,consumer
MEDIA_REWIND,0xB4,consumer
MEDIA_NEXT,0xB5,consumer
MEDIA_PREVIOUS,0xB6,consumer
MEDIA_PREV,0xB6,consumer
MEDIA_STOP,0xB7,consumer
MEDIA_PLAY_PAUSE,0xCD,consumer
MEDIA_PAUSE,0xB0,consumer
MEDIA_VOLUME_MUTE,0xE2,consumer
MEDIA_VOL_MUTE,0xE2,consumer
MEDIA_VOLUME_UP,0xE9,consumer
MEDIA_VOL_UP,0xE9,consumer
MEDIA_VOLUME_DOWN,0xEA,consumer
MEDIA_VOL_DOWN,0xEA,consumer
CONSUMER_BRIGHTNESS_UP,0x6F,consumer
CONSUMER_BRIGHTNESS_DOWN,0x70,consumer
CONSUMER_SCREENSAVER,0x19E,consumer
CONSUMER_PROGRAMMABLE_BUTTON_CONFIGURATION,0x182,consumer
CONSUMER_CONTROL_CONFIGURATION,0x183,consumer
CONSUMER_EMAIL_READER,0x18A,consumer
CONSUMER_CALCULATOR,0x192,consumer
CONSUMER_EXPLORER,0x194,consumer
CONSUMER_BROWSER_HOME,0x223,consumer
CONSUMER_BROWSER_BACK,0x224,consumer
CONSUMER_BROWSER_FORWARD,0x225,consumer
CONSUMER_BROWSER_REFRESH,0x227,consumer
CONSUMER_BROWSER_BOOKMARKS,0x22A,consumer
